Source,Target,color
0,12,#AAAAAA
0,15,#AAAAAA
0,18,#AAAAAA
0,22,#AAAAAA
0,24,#AAAAAA
0,25,#AAAAAA
0,31,#AAAAAA
0,32,#AAAAAA
1,13,#0000FF
1,18,#0000FF
1,19,#0000FF
1,23,#0000FF
1,36,#0000FF
1,58,#0000FF
1,77,#0000FF
1,84,#0000FF
1,89,#0000FF
1,94,#0000FF
3,15,#00FFFF
3,17,#00FFFF
4,11,#00FF00
4,14,#00FF00
4,16,#00FF00
4,35,#00FF00
4,116,#00FF00
4,139,#00FF00
5,11,#FFFF00
5,13,#FFFF00
5,19,#FFFF00
5,23,#FFFF00
5,26,#FFFF00
5,37,#FFFF00
5,80,#FFFF00
5,104,#FFFF00
5,179,#FFFF00
6,12,#FF00FF
6,14,#FF00FF
6,16,#FF00FF
6,21,#FF00FF
7,68,#FF00FF
7,128,#FF00FF
8,10,#0000FF
8,17,#0000FF
8,235,#0000FF
9,10,#FFFF00
9,20,#FFFF00
9,28,#FFFF00
9,38,#FFFF00
9,149,#FFFF00
11,30,#FFFF00
11,33,#FFFF00
11,39,#FFFF00
11,56,#FFFF00
11,107,#FFFF00
12,21,#AAAAAA
12,31,#AAAAAA
12,40,#AAAAAA
12,70,#AAAAAA
12,93,#AAAAAA
13,27,#AAAAAA
14,40,#AAAAAA
14,47,#AAAAAA
14,115,#AAAAAA
14,132,#AAAAAA
15,24,#AAAAAA
15,166,#AAAAAA
16,28,#AAAAAA
16,29,#AAAAAA
16,34,#AAAAAA
16,35,#AAAAAA
16,62,#AAAAAA
16,184,#AAAAAA
16,225,#AAAAAA
17,27,#00FFFF
17,32,#00FFFF
17,33,#00FFFF
17,55,#00FFFF
18,20,#AAAAAA
18,22,#AAAAAA
18,25,#AAAAAA
18,29,#AAAAAA
18,36,#AAAAAA
18,54,#AAAAAA
18,65,#AAAAAA
18,101,#AAAAAA
18,218,#AAAAAA
18,292,#AAAAAA
19,26,#FF0000
19,211,#FF0000
19,345,#FF0000
20,38,#FFFF00
20,48,#FFFF00
20,60,#FFFF00
21,50,#AAAAAA
23,37,#FF0000
23,41,#FF0000
23,48,#FF0000
23,49,#FF0000
23,105,#FF0000
24,34,#AAAAAA
24,120,#AAAAAA
26,30,#FFFF00
26,86,#FFFF00
27,39,#00FFFF
27,42,#00FFFF
27,46,#00FFFF
27,50,#00FFFF
27,80,#00FFFF
27,257,#00FFFF
28,49,#AAAAAA
30,43,#FFFF00
30,52,#FFFF00
30,74,#FFFF00
30,76,#FFFF00
31,41,#AAAAAA
31,45,#AAAAAA
32,66,#00FFFF
32,195,#00FFFF
33,47,#FFFF00
33,63,#FFFF00
33,110,#FFFF00
33,161,#FFFF00
34,42,#AAAAAA
34,43,#AAAAAA
34,44,#AAAAAA
34,51,#AAAAAA
34,53,#AAAAAA
34,60,#AAAAAA
35,45,#FFFF00
35,59,#FFFF00
35,71,#FFFF00
35,79,#FFFF00
35,90,#FFFF00
35,114,#FFFF00
36,44,#0000FF
36,61,#0000FF
37,46,#FF0000
37,65,#FF0000
40,56,#AAAAAA
40,61,#AAAAAA
41,52,#FF00FF
41,78,#FF00FF
41,141,#FF00FF
41,276,#FF00FF
42,53,#00FFFF
42,64,#00FFFF
42,87,#00FFFF
43,51,#FFFF00
43,75,#FFFF00
44,67,#0000FF
45,88,#AAAAAA
46,57,#AAAAAA
46,58,#AAAAAA
46,84,#AAAAAA
46,297,#AAAAAA
47,54,#FFFF00
47,55,#FFFF00
47,72,#FFFF00
47,87,#FFFF00
47,98,#FFFF00
47,343,#FFFF00
48,57,#FF0000
48,73,#FF0000
49,59,#AAAAAA
50,62,#00FFFF
50,64,#00FFFF
50,68,#00FFFF
50,103,#00FFFF
50,265,#00FFFF
51,73,#FFFF00
51,154,#FFFF00
51,272,#FFFF00
52,97,#FF0000
53,63,#00FFFF
53,78,#00FFFF
53,361,#00FFFF
54,67,#FFFF00
54,69,#FFFF00
54,70,#FFFF00
54,74,#FFFF00
54,142,#FFFF00
54,196,#FFFF00
54,252,#FFFF00
54,294,#FFFF00
54,320,#FFFF00
55,100,#00FF00
55,184,#00FF00
56,69,#AAAAAA
58,66,#AAAAAA
58,111,#AAAAAA
58,172,#AAAAAA
59,180,#AAAAAA
61,79,#00FFFF
61,96,#00FFFF
61,158,#00FFFF
