Source,Target,color
0,18,#FF0000
0,19,#FF0000
0,394,#FF0000
1,10,#AAAAAA
1,11,#AAAAAA
1,14,#AAAAAA
1,15,#AAAAAA
1,20,#AAAAAA
1,32,#AAAAAA
1,57,#AAAAAA
1,68,#AAAAAA
1,142,#AAAAAA
1,237,#AAAAAA
1,312,#AAAAAA
2,14,#FF0000
2,29,#FF0000
2,38,#FF0000
2,123,#FF0000
3,13,#FF0000
3,23,#FF0000
3,34,#FF0000
4,10,#FF00FF
4,11,#FF00FF
4,15,#FF00FF
4,18,#FF00FF
5,19,#FF0000
6,12,#00FFFF
6,16,#00FFFF
6,20,#00FFFF
6,73,#00FFFF
7,28,#FFFF00
8,12,#AAAAAA
8,13,#AAAAAA
8,16,#AAAAAA
8,17,#AAAAAA
9,17,#00FF00
9,26,#00FF00
9,29,#00FF00
9,257,#00FF00
10,24,#FF00FF
10,71,#FF00FF
11,22,#FF00FF
11,33,#FF00FF
12,35,#AAAAAA
13,28,#FFFF00
13,43,#FFFF00
13,60,#FFFF00
14,22,#AAAAAA
14,23,#AAAAAA
14,24,#AAAAAA
14,27,#AAAAAA
14,37,#AAAAAA
14,49,#AAAAAA
14,67,#AAAAAA
14,84,#AAAAAA
14,86,#AAAAAA
15,21,#AAAAAA
15,25,#AAAAAA
15,26,#AAAAAA
15,35,#AAAAAA
15,94,#AAAAAA
15,155,#AAAAAA
16,31,#00FFFF
16,45,#00FFFF
17,25,#AAAAAA
17,45,#AAAAAA
17,77,#AAAAAA
17,80,#AAAAAA
18,21,#FF0000
18,27,#FF0000
18,51,#FF0000
18,57,#FF0000
18,64,#FF0000
20,38,#AAAAAA
20,56,#AAAAAA
20,230,#AAAAAA
21,39,#FF0000
21,69,#FF0000
21,146,#FF0000
22,30,#FF00FF
22,66,#FF00FF
23,31,#AAAAAA
23,32,#AAAAAA
23,36,#AAAAAA
23,40,#AAAAAA
23,50,#AAAAAA
24,34,#AAAAAA
24,39,#AAAAAA
24,58,#AAAAAA
25,30,#AAAAAA
25,33,#AAAAAA
25,37,#AAAAAA
26,36,#AAAAAA
26,41,#AAAAAA
26,104,#AAAAAA
26,112,#AAAAAA
26,191,#AAAAAA
27,53,#FF0000
28,42,#FFFF00
30,42,#FF00FF
30,52,#FF00FF
30,86,#FF00FF
31,44,#00FFFF
32,399,#AAAAAA
33,41,#AAAAAA
33,47,#AAAAAA
33,52,#AAAAAA
33,55,#AAAAAA
33,368,#AAAAAA
34,47,#AAAAAA
34,72,#AAAAAA
34,74,#AAAAAA
35,40,#AAAAAA
35,46,#AAAAAA
35,48,#AAAAAA
35,54,#AAAAAA
35,62,#AAAAAA
36,43,#AAAAAA
36,49,#AAAAAA
36,83,#AAAAAA
36,93,#AAAAAA
37,122,#AAAAAA
37,134,#AAAAAA
38,44,#AAAAAA
38,48,#AAAAAA
38,60,#AAAAAA
38,69,#AAAAAA
39,46,#FFFF00
39,92,#FFFF00
40,50,#AAAAAA
40,55,#AAAAAA
40,67,#AAAAAA
40,70,#AAAAAA
40,85,#AAAAAA
40,88,#AAAAAA
40,94,#AAAAAA
40,107,#AAAAAA
41,76,#AAAAAA
42,62,#FF00FF
43,88,#AAAAAA
44,58,#AAAAAA
44,59,#AAAAAA
45,56,#00FFFF
45,65,#00FFFF
45,82,#00FFFF
46,66,#AAAAAA
46,82,#AAAAAA
47,53,#AAAAAA
47,59,#AAAAAA
47,75,#AAAAAA
48,51,#AAAAAA
48,330,#AAAAAA
49,54,#AAAAAA
50,108,#AAAAAA
51,105,#FF0000
53,61,#FF00FF
53,142,#FF00FF
53,171,#FF00FF
54,63,#AAAAAA
54,70,#AAAAAA
54,85,#AAAAAA
55,63,#AAAAAA
55,64,#AAAAAA
55,65,#AAAAAA
55,75,#AAAAAA
55,102,#AAAAAA
55,128,#AAAAAA
57,154,#AAAAAA
58,61,#AAAAAA
58,71,#AAAAAA
59,68,#AAAAAA
59,117,#AAAAAA
61,77,#FF00FF
61,84,#FF00FF
62,74,#AAAAAA
62,76,#AAAAAA
62,79,#AAAAAA
62,100,#AAAAAA
63,99,#AAAAAA
63,120,#AAAAAA
64,73,#AAAAAA
64,78,#AAAAAA
66,72,#FF00FF
66,78,#FF00FF
66,87,#FF00FF
66,115,#FF00FF
67,79,#AAAAAA
67,118,#AAAAAA
67,224,#AAAAAA
67,254,#AAAAAA
68,81,#AAAAAA
70,109,#AAAAAA
70,183,#AAAAAA
70,226,#AAAAAA
71,102,#AAAAAA
71,121,#AAAAAA
72,80,#AAAAAA
72,97,#AAAAAA
72,100,#AAAAAA
72,147,#AAAAAA
72,337,#AAAAAA
73,91,#AAAAAA
73,106,#AAAAAA
74,81,#AAAAAA
74,89,#AAAAAA
75,91,#AAAAAA
77,83,#AAAAAA
77,89,#AAAAAA
77,98,#AAAAAA
77,148,#AAAAAA
77,172,#AAAAAA
77,216,#AAAAAA
79,87,#AAAAAA
79,113,#AAAAAA
80,93,#AAAAAA
80,144,#AAAAAA
81,107,#AAAAAA
82,96,#AAAAAA
82,101,#AAAAAA
82,116,#AAAAAA
82,130,#AAAAAA
82,230,#AAAAAA
83,95,#AAAAAA
83,103,#AAAAAA
83,147,#AAAAAA
83,259,#AAAAAA
84,99,#AAAAAA
86,90,#AAAAAA
86,117,#AAAAAA
87,95,#FF00FF
87,96,#FF00FF
87,97,#FF00FF
87,258,#FF00FF
88,90,#AAAAAA
88,98,#AAAAAA
89,92,#AAAAAA
89,101,#AAAAAA
89,201,#AAAAAA
90,111,#AAAAAA
92,105,#AAAAAA
92,184,#AAAAAA
93,108,#AAAAAA
93,125,#AAAAAA
93,128,#AAAAAA
93,143,#AAAAAA
93,286,#AAAAAA
94,106,#AAAAAA
